,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
384,Podgornoye,51.73,39.15,15.0,33,46,7.0,RU,1589705019
385,Porto-Novo,6.5,2.6,31.0,74,40,4.1,BJ,1589705019
386,Avera,33.19,-82.53,18.0,96,1,1.5,US,1589705019
387,Gao,16.64,1.64,37.13,12,75,0.61,ML,1589705020
388,Tacoronte,28.48,-16.41,18.33,76,75,2.1,ES,1589705020
389,Paramirim,-13.44,-42.24,21.19,86,76,0.33,BR,1589705020
390,Tomatlán,19.93,-105.25,18.58,68,16,0.73,MX,1589705021
391,Calama,-22.47,-68.93,2.0,17,0,9.8,CL,1589705021
392,Korostyshiv,50.32,29.06,16.23,63,100,4.12,UA,1589705021
393,Udachny,66.42,112.4,12.0,40,100,1.0,RU,1589705021
394,Pāonta Sāhib,30.45,77.62,40.0,7,42,6.33,IN,1589705021
395,Benicarló,40.42,0.43,16.67,66,83,4.92,ES,1589705022
396,Borovskoy,53.8,64.15,19.33,57,85,3.69,KZ,1589705022
397,Ventspils,57.39,21.56,9.0,76,20,8.7,LV,1589705022
398,Āgaro,7.85,36.65,28.25,53,14,0.25,ET,1589705022
399,Rio Grande,-32.03,-52.1,14.44,72,0,5.76,BR,1589704911
400,Richmond,37.55,-77.46,18.89,88,90,2.1,US,1589704724
401,Kaseda-shirakame,31.42,130.32,23.89,83,75,2.1,JP,1589705023
402,Baykit,61.67,96.37,12.45,49,98,2.99,RU,1589705023
403,Esperance,-33.87,121.9,21.0,43,100,4.1,AU,1589705024
404,Dali,25.7,100.18,24.78,39,30,2.97,CN,1589705024
405,Spring Hill,28.48,-82.53,21.11,88,1,1.64,US,1589704997
406,Roald,62.58,6.13,7.0,81,100,7.2,NO,1589705024
407,La Cruz,23.92,-106.9,17.22,96,0,2.24,MX,1589705025
408,Qaqortoq,60.72,-46.03,7.0,24,98,11.3,GL,1589705025
409,Fare,-16.7,-151.02,27.78,74,12,1.62,PF,1589705025
410,Ascension,30.22,-90.9,25.0,88,90,2.6,US,1589705025
411,Olafsvik,64.89,-23.71,4.74,69,48,6.44,IS,1589705025
412,Tezu,27.92,96.17,34.74,32,3,2.18,IN,1589705026
413,Maragogi,-9.01,-35.22,23.97,91,30,2.37,BR,1589705026
414,Ust'ye,59.63,39.74,9.13,57,100,6.55,RU,1589705026
415,Portland,45.52,-122.68,12.78,94,98,1.59,US,1589704771
416,Marawi,8.0,124.29,29.44,81,100,1.79,PH,1589705027
417,Polyarny,69.2,33.45,3.0,69,40,3.0,RU,1589705027
418,Itaqui,-29.13,-56.55,11.09,75,0,2.75,BR,1589705027
419,Faro,37.02,-7.93,20.56,77,0,2.1,PT,1589705027
420,Yulara,-25.24,130.99,22.0,15,0,4.6,AU,1589705028
421,Wanlaweyn,2.62,44.89,30.99,55,71,6.95,SO,1589705028
422,Roebourne,-20.78,117.13,26.65,28,61,3.65,AU,1589705028
423,Sandane,61.77,6.21,6.11,81,100,6.2,NO,1589705028
424,Kampot,10.62,104.18,32.0,62,20,4.1,KH,1589705029
425,Sur,22.57,59.53,33.55,31,0,2.55,OM,1589705029
426,Leningradskiy,69.38,178.42,-2.67,96,99,1.63,RU,1589705029
427,Yeppoon,-23.13,150.73,23.0,60,100,5.7,AU,1589705029
428,Churapcha,62.0,132.43,16.2,42,53,4.35,RU,1589705029
429,Walvis Bay,-22.96,14.51,19.0,45,0,1.5,NA,1589705030
430,Mandaguaçu,-23.35,-52.1,10.85,83,0,0.85,BR,1589705030
431,Baruun-Urt,46.68,113.28,11.67,69,98,9.81,MN,1589705030
432,Sarab,38.61,44.99,25.48,31,31,4.14,IR,1589705030
433,Muravlenko,63.79,74.52,17.84,39,53,5.49,RU,1589705031
434,Pastavy,55.12,26.83,10.51,68,93,8.08,BY,1589705031
435,Port Macquarie,-31.43,152.92,16.0,93,75,4.1,AU,1589705031
436,Hammerfest,70.66,23.68,2.0,98,90,6.7,NO,1589705031
437,Micoud,13.82,-60.9,25.56,76,76,2.24,LC,1589705031
438,Lata,40.16,-8.33,19.44,69,0,3.58,PT,1589705032
439,Makubetsu,45.37,141.82,6.0,75,75,7.2,JP,1589705032
440,Mabaruma,8.2,-59.78,23.52,94,96,2.24,GY,1589705032
441,Teya,60.38,92.63,12.27,86,100,1.86,RU,1589705032
442,Mindelo,16.89,-24.98,22.0,73,40,11.8,CV,1589705032
443,Honningsvåg,70.98,25.97,0.94,95,100,2.11,NO,1589705033
444,Mount Gambier,-37.83,140.77,10.0,87,30,0.5,AU,1589705033
445,Elko,41.0,-115.5,12.78,40,96,0.45,US,1589705033
446,Grand-Santi,4.25,-54.38,21.85,97,67,0.89,GF,1589705033
447,Atherton,53.52,-2.49,14.44,69,100,1.34,GB,1589705013
449,Beringovskiy,63.05,179.32,-0.8,97,99,5.84,RU,1589705034
450,Deniliquin,-35.53,144.97,12.78,75,0,1.73,AU,1589705034
451,Kefamenanu,-9.45,124.48,24.5,87,72,2.79,ID,1589705035
452,Agüimes,27.91,-15.45,21.0,56,20,8.2,ES,1589705035
453,Lincoln,40.8,-96.67,13.33,82,90,5.7,US,1589704770
454,Los Alamos,35.89,-106.31,15.56,41,1,5.1,US,1589705035
455,Majene,-3.54,118.97,28.99,80,100,2.42,ID,1589705036
456,Sovetskiy,61.36,63.58,14.09,45,88,2.19,RU,1589705036
457,Province of Groningen,53.25,6.75,16.67,51,34,5.1,NL,1589705036
458,Mabay,6.06,124.47,34.0,49,40,2.1,PH,1589705036
459,Adré,13.47,22.2,34.1,18,0,2.01,TD,1589705036
460,Vredendal,-31.67,18.5,24.74,18,0,2.66,ZA,1589705037
461,Altay,47.87,88.12,23.93,34,100,3.65,CN,1589705037
462,Tsévié,6.43,1.21,30.0,79,20,4.1,TG,1589705037
463,Araouane,18.9,-3.53,30.23,13,73,7.26,ML,1589705037
464,Januária,-15.48,-44.37,21.05,90,98,0.19,BR,1589705037
465,Hawkesbury,45.6,-74.62,9.44,81,75,1.0,CA,1589704781
466,Ponta Delgada,37.73,-25.67,17.0,93,75,2.1,PT,1589705038
467,Novy Urengoy,66.08,76.63,13.88,39,6,5.36,RU,1589705038
468,Safi,32.3,-9.24,19.35,64,0,6.47,MA,1589705038
469,Hong Kong,22.29,114.16,31.67,72,30,3.13,HK,1589705038
470,Ostrovnoy,68.05,39.51,0.91,94,100,3.69,RU,1589705038
471,Vrangel',42.73,133.08,7.66,82,97,8.47,RU,1589705039
472,Praia da Vitória,38.73,-27.07,17.0,88,75,2.72,PT,1589705039
473,Vostok,46.49,135.88,8.11,98,100,1.54,RU,1589705039
474,Poyarkovo,49.6,128.68,17.6,41,24,3.9,RU,1589705039
475,Padang,-0.95,100.35,27.1,81,100,6.96,ID,1589705040
476,Lillesand,58.25,8.38,10.0,57,75,7.7,NO,1589705040
477,Wenatchee,47.42,-120.31,12.22,93,90,3.1,US,1589705040
478,Alyangula,-13.85,136.42,26.0,78,75,3.6,AU,1589705040
479,Tahoua,14.89,5.27,27.0,65,2,8.2,NE,1589705040
480,Sorsk,54.0,90.25,22.03,34,0,5.01,RU,1589705041
481,Sovetskaya Gavan',48.97,140.29,5.49,66,0,5.11,RU,1589705041
482,Bukama,-9.2,25.85,31.31,36,16,1.27,CD,1589705041
484,Port Lincoln,-34.73,135.87,14.95,74,40,3.68,AU,1589705041
485,Konstanz,47.66,9.18,16.11,58,0,2.1,DE,1589705042
486,Andradina,-20.9,-51.38,14.63,89,0,1.97,BR,1589705042
487,Zhifang,30.35,114.32,30.0,58,99,3.0,CN,1589705042
488,Manzanillo,20.34,-77.12,24.36,81,9,1.44,CU,1589705042
490,Lorengau,-2.02,147.27,28.53,78,18,3.77,PG,1589705043
491,Kantunilkín,21.09,-87.45,27.0,88,5,3.6,MX,1589705043
492,Salisbury,51.07,-1.8,14.44,87,19,3.6,GB,1589705026
493,Coxim,-18.51,-54.76,16.55,91,0,2.26,BR,1589705043
494,Monte Azul,-15.15,-42.87,20.12,88,95,1.35,BR,1589705043
495,Kamyshin,50.1,45.42,17.23,45,0,6.03,RU,1589705044
496,Kudahuvadhoo,2.67,72.89,29.73,78,100,10.27,MV,1589705044
497,Pierre,44.37,-100.35,10.0,87,90,4.1,US,1589705044
498,Wuwei,37.93,102.64,23.51,17,0,5.68,CN,1589704968
499,Hengshui,37.73,115.7,24.04,26,94,9.98,CN,1589705045
500,Aswān,24.09,32.91,37.75,20,0,4.1,EG,1589705045
501,Ebeltoft,56.19,10.68,11.11,76,94,7.7,DK,1589705032
502,Ialibu,-6.28,143.99,22.0,60,40,5.1,PG,1589705045
504,San Quintín,30.48,-115.95,16.53,85,1,1.07,MX,1589705045
505,Te Anau,-45.42,167.72,6.33,82,1,0.45,NZ,1589705046
506,Batemans Bay,-35.72,150.18,11.67,90,0,1.2,AU,1589705046
507,Vavozh,56.78,51.93,13.51,49,55,2.78,RU,1589705046
508,Gibara,21.11,-76.13,24.0,94,5,3.1,CU,1589705046
509,Malgrat de Mar,41.65,2.74,21.11,98,100,1.34,ES,1589705047
510,Kalevala,65.2,31.17,7.63,62,85,3.86,RU,1589705047
511,Devonport,-41.17,146.35,12.78,87,2,2.44,AU,1589705047
512,Aksay,47.26,39.87,19.0,45,40,6.0,RU,1589705047
513,Alofi,-19.06,-169.92,25.0,83,86,1.5,NU,1589705047
514,Nguru,12.88,10.45,36.97,29,11,4.35,NG,1589705048
515,Gazimurskiy Zavod,51.55,118.33,21.03,32,0,3.99,RU,1589705048
516,Palmer,42.16,-72.33,12.0,71,90,3.1,US,1589705048
517,Tolaga Bay,-38.37,178.3,13.05,80,99,3.66,NZ,1589705048
518,Barcelos,41.54,-8.62,21.11,52,0,5.7,PT,1589704866
519,Tuckahoe,37.59,-77.56,18.89,82,90,1.5,US,1589705049
520,Nelson Bay,-32.72,152.15,15.0,72,68,1.0,AU,1589704896
521,Turukhansk,65.82,87.98,8.56,87,100,3.85,RU,1589705050
522,Okhotsk,59.38,143.3,4.02,74,62,2.93,RU,1589705050
523,Chiang Kham,19.52,100.3,37.78,39,20,3.6,TH,1589705050
524,Pinega,64.7,43.39,10.65,53,60,3.23,RU,1589705050
525,Puerto Madero,14.72,-92.42,27.75,78,90,2.52,MX,1589705051
526,Shubarshi,48.59,57.19,11.64,82,100,4.9,KZ,1589705051
527,Brae,60.4,-1.35,8.0,65,97,5.7,GB,1589705051
528,Ganta,7.3,-8.53,25.21,89,85,1.29,LR,1589705051
529,Westport,41.14,-73.36,11.67,82,100,2.45,US,1589704805
530,Solnechnyy,50.72,136.63,11.53,44,88,4.24,RU,1589705052
531,Meulaboh,4.14,96.13,25.42,87,100,3.11,ID,1589705052
532,Kipini,-2.53,40.53,28.34,73,0,8.76,KE,1589705052
533,Sinop Province,41.77,34.87,23.32,46,10,1.75,TR,1589705053
534,Grand Gaube,-20.01,57.66,27.22,63,2,2.68,MU,1589705053
